   0.5100000E+01   0.1448997E-08  -0.1693383E-08   0.1344534E-08   0.2829605E-09   0.3140790E-09   0.5234580E-09   0.4197443E-09  -0.3414723E-10  -0.2082578E-09  -0.1133048E-09   0.2024070E-09  -0.2638922E-09   0.2169743E-10   0.1081914E-09
   0.1010000E+02   0.1236561E-08  -0.1333388E-08   0.8930645E-09   0.7340981E-09   0.1028750E-08   0.7033444E-09   0.4114788E-09  -0.4579885E-09  -0.4386174E-09   0.3537055E-09   0.3009776E-09  -0.1569491E-10   0.4610170E-09   0.2863641E-09
   0.1510000E+02   0.2736969E-09  -0.9210177E-09   0.7114527E-09   0.3150440E-09   0.1093810E-08   0.4627130E-09   0.1025643E-08  -0.1721809E-09   0.2967675E-09  -0.1241994E-09   0.2263794E-09  -0.1336069E-10  -0.1246687E-09   0.8355738E-09
   0.2010000E+02   0.4777637E-09  -0.1491067E-08   0.8046686E-09   0.3818924E-09   0.1087212E-08   0.7296847E-09   0.6636363E-09  -0.9428051E-10   0.3733160E-09  -0.1663291E-09  -0.2336751E-09  -0.9646020E-10   0.9288095E-10   0.5693154E-09
   0.2510000E+02   0.6738695E-10  -0.1217099E-08   0.1752015E-08   0.9839362E-09   0.5149859E-09   0.1025525E-08   0.8241320E-09   0.1102472E-09  -0.1282375E-09   0.2782004E-09  -0.1025276E-13  -0.1970589E-09   0.6562703E-10  -0.1529256E-09
   0.3010000E+02   0.9253287E-09  -0.1649106E-08   0.6268619E-09   0.5372301E-09   0.1272281E-08   0.6576763E-09   0.6746490E-09   0.2719285E-09  -0.1568868E-10   0.5803627E-11   0.7736137E-10  -0.2218979E-09   0.1343178E-09   0.1105593E-09
   0.3510000E+02  -0.1706242E-07  -0.2168985E-08   0.1681933E-09  -0.1223820E-09   0.1517252E-08   0.6157738E-09   0.6968630E-09   0.3776655E-09   0.3582670E-09  -0.5228344E-09  -0.3062197E-10  -0.4342025E-09  -0.1554764E-09   0.3885862E-09
   0.4010000E+02  -0.6182596E-07  -0.1100212E-08   0.1101018E-08   0.8748739E-09   0.6830537E-09   0.1023924E-08   0.9675441E-09   0.2703241E-09  -0.1582983E-09   0.8546777E-10   0.8106530E-10  -0.1462630E-09   0.2208497E-09   0.1984355E-09
   0.4510000E+02   0.1708612E-06  -0.2048045E-08   0.1936382E-08   0.9013859E-09   0.3746944E-09   0.7499175E-09   0.7832236E-09   0.7351592E-10  -0.1546302E-09  -0.2248984E-09  -0.8549581E-10  -0.2204582E-09  -0.1123648E-09   0.1783412E-09
   0.5010000E+02   0.2943215E-07   0.2847780E-09   0.1528191E-08   0.9306196E-09   0.9199845E-09   0.5504185E-09   0.7005521E-09   0.1234190E-09   0.1573409E-10  -0.7868155E-10   0.1890455E-09  -0.3128885E-09   0.1244398E-09  -0.1354644E-10
